Xl,gamma,al,exp.al
 1.496000e-01,-3.162278e-02, 5.103000e+03, 1.336696e+04
 3.381000e-01,-3.162278e-02, 1.525100e+04, 2.215539e+04
 4.758750e-01,-3.162278e-02, 1.576500e+04, 2.696800e+04
 4.126250e-01,-3.162278e-02, 4.073100e+04, 2.487273e+04
 3.556250e-01,-3.162278e-02, 7.415000e+03, 2.282209e+04
 3.969250e-01,-3.162278e-02, 1.557100e+04, 2.432465e+04
 3.059000e-01,-3.162278e-02, 3.390700e+04, 2.087958e+04
 5.068250e-01,-3.162278e-02, 7.446000e+03, 2.793445e+04
 2.547500e-02,-3.162278e-02, 1.726000e+03, 3.836487e+03
 6.582500e-01,-3.162278e-02, 1.865700e+04, 3.221624e+04
 1.054250e-01,-3.162278e-02, 5.386000e+03, 1.060407e+04
 2.769750e-01,-3.162278e-02, 4.934000e+03, 1.967085e+04
 4.202500e-02,-3.162278e-02, 2.225000e+03, 5.560542e+03
 6.529750e-01,-3.162278e-02, 1.598900e+04, 3.207784e+04
 1.507500e-02,-3.162278e-02, 8.210000e+02, 2.567090e+03
 1.495500e-01,-3.162278e-02, 4.667000e+03, 1.336406e+04
 2.493750e-01,-3.162278e-02, 6.232000e+03, 1.845425e+04
 2.610250e-01,-3.162278e-02, 3.021600e+04, 1.897586e+04
 7.402500e-02,-3.162278e-02, 1.087000e+03, 8.323607e+03
 1.780000e-01,-3.162278e-02, 9.088000e+03, 1.494871e+04
 1.131500e-01,-3.162278e-02, 1.421000e+03, 1.111942e+04
 5.970000e-02,-3.162278e-02, 9.174000e+03, 7.156576e+03
 5.910000e-02,-3.162278e-02, 8.870000e+03, 7.105501e+03
 2.212500e-02,-3.162278e-02, 4.650000e+02, 3.448032e+03
 1.128750e-01,-3.162278e-02, 7.522000e+03, 1.110133e+04
 6.837250e-01,-3.162278e-02, 2.931000e+04, 3.287515e+04
 1.465000e-02,-3.162278e-02, 3.114000e+03, 2.510620e+03
 3.540000e-02,-3.162278e-02, 3.750000e+02, 4.903453e+03
 4.607000e-01,-3.162278e-02, 1.224800e+04, 2.648070e+04
 2.602500e-02,-3.162278e-02, 1.386000e+03, 3.898722e+03
 3.572500e-02,-3.162278e-02, 2.676000e+03, 4.936605e+03
 7.964000e-01,-3.162278e-02, 1.155200e+04, 3.561798e+04
 5.212500e-02,-3.162278e-02, 1.110000e+03, 6.496911e+03
