Xl,gamma,al
    0.011675,  -20.000000,  122.000000
    0.000600,  -20.000000,   12.000000
    0.000125,  -20.000000,    2.000000
    0.008100,  -20.000000,  648.000000
    0.000375,  -20.000000,   24.000000
    0.000050,  -20.000000,    1.000000
    0.001725,  -20.000000,   79.000000
    0.001100,  -20.000000,   22.000000
    0.000050,  -20.000000,    1.000000
    0.002850,  -20.000000,  198.000000
    0.002925,  -20.000000,  278.000000
    0.022250,  -20.000000, 1806.000000
    0.001000,  -20.000000,   16.000000
    0.000050,  -20.000000,    1.000000
    0.005850,  -20.000000, 1105.000000
    0.008875,  -20.000000,  502.000000
    0.000075,  -20.000000,    4.000000
    0.021300,  -20.000000, 2188.000000
    0.013375,  -20.000000,  131.000000
    0.001025,  -20.000000,   18.000000
    0.000150,  -20.000000,   14.000000
    0.000775,  -20.000000,   21.000000
    0.000150,  -20.000000,    2.000000
    0.000150,  -20.000000,    2.000000
    0.026675,  -20.000000,  778.000000
    0.000075,  -20.000000,    3.000000
    0.021800,  -20.000000,  877.000000
    0.000025,  -20.000000,    1.000000
    0.000075,  -20.000000,    4.000000
    0.010950,  -20.000000,  598.000000
    0.002825,  -20.000000,  153.000000
    0.001350,  -20.000000,   84.000000
    0.000800,  -20.000000,  257.000000
    0.001650,  -20.000000,  251.000000
    0.000825,  -20.000000,  476.000000
    0.000500,  -20.000000,    8.000000
    0.009725,  -20.000000, 2506.000000
    0.001825,  -20.000000,  156.000000
    0.000725,  -20.000000,   20.000000
    0.000175,  -20.000000,    5.000000
    0.000175,  -20.000000,   53.000000
    0.000050,  -20.000000,    1.000000
    0.000250,  -20.000000,    4.000000
    0.013400,  -20.000000,  239.000000
    0.000325,  -20.000000,   13.000000
    0.000050,  -20.000000,    1.000000
    0.010750,  -20.000000,  306.000000
    0.013325,  -20.000000,  279.000000
    0.000100,  -20.000000,    6.000000
    0.000650,  -20.000000,   26.000000
    0.000050,  -20.000000,    1.000000
    0.000750,  -20.000000,   16.000000
    0.000050,  -20.000000,    1.000000
    0.002025,  -20.000000,   72.000000
    0.000275,  -20.000000,    4.000000
    0.000050,  -20.000000,    1.000000
    0.001400,  -20.000000,   39.000000
    0.000400,  -20.000000,   12.000000
    0.004675,  -20.000000,   23.000000
    0.000325,  -20.000000,   24.000000
    0.002250,  -20.000000,   66.000000
    0.000225,  -20.000000,   19.000000
    0.004775,  -20.000000,   70.000000
    0.000125,  -20.000000,   20.000000
    0.003725,  -20.000000, 1235.000000
    0.000025,  -20.000000,    1.000000
    0.006025,  -20.000000, 3568.000000
    0.000050,  -20.000000,    1.000000
    0.009300,  -20.000000,  889.000000
    0.001150,  -20.000000,   38.000000
    0.014500,  -20.000000,  364.000000
    0.000675,  -20.000000,    3.000000
    0.000100,  -20.000000,  123.000000
    0.004175,  -20.000000, 1167.000000
    0.015800,  -20.000000, 4828.000000
    0.001375,  -20.000000,   29.000000
    0.003200,  -20.000000,  538.000000
    0.002225,  -20.000000,   74.000000
    0.000500,  -20.000000,    7.000000
    0.013700,  -20.000000,  515.000000
    0.016175,  -20.000000,  816.000000
    0.000075,  -20.000000,   42.000000
    0.000225,  -20.000000,   38.000000
    0.001025,  -20.000000,   48.000000
    0.012625,  -20.000000,  827.000000
    0.000075,  -20.000000,    2.000000
    0.015025,  -20.000000, 1077.000000
    0.000075,  -20.000000,    3.000000
    0.000150,  -20.000000,   22.000000
    0.000250,  -20.000000,    4.000000
    0.007675,  -20.000000,  420.000000
    0.010125,  -20.000000,  766.000000
    0.000300,  -20.000000,   10.000000
    0.000475,  -20.000000,   57.000000
    0.000175,  -20.000000,   16.000000
    0.000325,  -20.000000,   15.000000
    0.000025,  -20.000000,    1.000000
    0.000475,  -20.000000,    8.000000
    0.000275,  -20.000000,    8.000000
