tid,gamma,trueage,freqonly
1684,63.096,-61.53817,-66.51824
1685,54.117,-54.17544,-57.87033
1686,46.416,-44.12892,-45.26412
1687,39.811,-42.21138,-42.99409
1688,34.145,-33.63615,-32.51203
1689,29.286,-29.49707,-29.70608
1690,25.119,-28.18789,-23.50332
1691,21.544,-22.19882,-20.61493
1692,18.478,-18.30657,-19.19631
1693,15.849,-16.24676,-16.24095
1694,13.594,-12.98626,-14.75701
1695,11.659,-10.85323,-11.1119
1696,10,-10.10212,-8.63326
1697,8.577,-9.29088,-7.63167
1698,7.356,-7.10276,-7.49795
1699,6.31,-6.76477,-6.68831
1700,5.412,-5.61884,-5.34745
1701,4.642,-4.54447,-4.3396
1702,3.981,-3.79858,-3.85473
1703,3.415,-3.5396,-3.95712
1704,2.929,-2.73395,-2.61722
1705,2.512,-2.67296,-2.63035
1706,2.154,-2.00758,-2.04213
1707,1.848,-1.87897,-1.85863
1708,1.585,-1.44368,-1.55268
1709,1.359,-1.39071,-1.51925
1710,1.166,-1.31626,-1.43229
1711,1,-1.08118,-1.02564
1712,0.457,-0.30451,-0.60875
1713,0.152,-0.1441,-0.26782
1714,0.023,-0.05971,-0.00824
1715,0,0.00012,0.32438
1716,100,-100.10135,-100.24092
1717,85.77,-88.34594,-94.15915
1718,73.564,-72.82078,-73.32034
1719,63.096,-65.18851,-72.4317
1720,54.117,-57.05955,-54.16636
1721,46.416,-44.07329,-48.92589
1722,39.811,-42.14104,-42.10456
1723,34.145,-34.16149,-36.42283
1724,29.286,-30.55106,-30.01552
1725,25.119,-25.87576,-28.99716
1726,21.544,-20.68653,-23.3386
1727,18.478,-16.69766,-17.48757
1728,15.849,-15.08826,-15.28982
1729,13.594,-13.10419,-14.84284
1730,11.659,-11.72089,-12.98853
1731,10,-10.07488,-10.1083
1732,8.577,-9.57618,-8.37654
1733,7.356,-7.42286,-7.51682
1734,6.31,-6.0296,-6.7516
1735,5.412,-5.43617,-5.93354
1736,4.642,-4.64349,-4.72211
1737,3.981,-3.8418,-4.23065
1738,3.415,-3.34374,-3.12657
1739,2.929,-2.71783,-3.19146
1740,2.512,-2.64211,-2.58103
1741,2.154,-2.60401,-1.92505
1742,1.848,-2.09497,-2.01108
1743,1.585,-1.7371,-1.68253
1744,1.359,-1.5464,-1.46778
1745,1.166,-1.01979,-1.22734
1746,1,-1.13402,-0.90325
1747,0.457,-0.5217,-0.52675
1748,0.152,-0.14193,-0.18055
1749,0.023,-0.19638,-0.01066
1750,0,-0.22937,-0.20394
1751,100,-101.56546,-103.60276
1752,85.77,-92.00431,-83.82421
1753,73.564,-71.57471,-69.55053
1754,63.096,-63.3866,-63.39098
1755,54.117,-55.80634,-55.44324
1756,46.416,-43.7689,-46.17051
1757,39.811,-35.37959,-36.32438
1758,34.145,-34.52027,-33.83931
1759,29.286,-30.44575,-32.19612
1760,25.119,-25.43641,-28.51812
1761,21.544,-21.44677,-20.17739
1762,18.478,-19.61384,-17.15796
1763,15.849,-15.69205,-16.22101
1764,13.594,-12.94546,-15.59995
1765,11.659,-11.20561,-9.80978
1766,10,-9.85912,-9.833
1767,8.577,-8.89645,-7.38359
1768,7.356,-7.44112,-7.04514
1769,6.31,-5.61999,-6.371
1770,5.412,-5.13431,-5.26022
1771,4.642,-4.73057,-5.26051
1772,3.981,-3.87779,-3.90946
1773,3.415,-2.87499,-3.16272
1774,2.929,-3.03569,-2.8437
1775,2.512,-2.95462,-2.68418
1776,2.154,-2.20281,-1.87013
1777,1.848,-1.75341,-1.69158
1778,1.585,-1.4028,-1.43258
1779,1.359,-1.45941,-1.02036
1780,1.166,-1.1563,-1.13556
1781,1,-0.81825,-0.72613
1782,0.457,-0.42979,-0.3981
1783,0.152,-0.06339,-0.18834
1784,0.023,0.00519,-0.07141
1785,0,0.19237,-0.24057
1786,100,-101.98386,-94.40153
1787,85.77,-79.81775,-79.2225
1788,73.564,-74.68899,-71.40885
1789,63.096,-64.76096,-53.76782
1790,54.117,-57.53221,-55.45402
1791,46.416,-47.79887,-47.88455
1792,39.811,-39.1171,-36.6647
1793,34.145,-36.5713,-29.12597
1794,29.286,-27.84576,-32.99722
1795,25.119,-24.23585,-23.02199
1796,21.544,-21.68646,-22.71264
1797,18.478,-18.8885,-16.39214
1798,15.849,-16.65265,-16.45345
1799,13.594,-12.76432,-13.70446
1800,11.659,-11.48453,-10.78219
1801,10,-9.99462,-10.11964
1802,8.577,-8.03937,-8.69733
1803,7.356,-6.66876,-7.62576
1804,6.31,-5.87625,-6.33714
1805,5.412,-5.33162,-5.62474
1806,4.642,-4.36744,-4.7188
1807,3.981,-3.79004,-3.98534
1808,3.415,-3.37402,-3.2224
1809,2.929,-2.87103,-3.08686
1810,2.512,-2.378,-2.65133
1811,2.154,-1.97456,-2.17683
1812,1.848,-1.7828,-2.34766
1813,1.585,-1.45775,-1.66841
1814,1.359,-1.02841,-1.31513
1815,1.166,-1.32821,-1.05812
1816,1,-0.9212,-0.7177
1817,0.457,-0.53469,-0.33333
1818,0.152,-0.28466,-0.20135
1819,0.023,0.04769,0.05454
1820,0,-0.08994,-0.12406
1821,100,-94.99224,-99.28594
1822,85.77,-82.66545,-88.81107
1823,73.564,-71.41662,-72.58138
1824,63.096,-62.48819,-57.46939
1825,54.117,-53.90048,-49.64511
1826,46.416,-46.64611,-42.70137
1827,39.811,-40.29422,-43.24722
1828,34.145,-33.40109,-33.41173
1829,29.286,-29.54974,-33.46984
1830,25.119,-25.42281,-23.90306
1831,21.544,-20.99754,-22.40002
1832,18.478,-18.6925,-17.78306
1833,15.849,-14.9206,-16.04668
1834,13.594,-13.41631,-15.78897
1835,11.659,-11.67378,-12.34727
1836,10,-9.99247,-10.55728
1837,8.577,-8.71488,-7.98117
1838,7.356,-8.16103,-7.52378
1839,6.31,-6.10239,-6.05737
1840,5.412,-4.99915,-5.23324
1841,4.642,-4.40827,-4.33318
1842,3.981,-3.81642,-4.07724
1843,3.415,-3.62785,-3.54949
1844,2.929,-3.11517,-2.82515
1845,2.512,-2.55846,-2.71761
1846,2.154,-2.30724,-2.27736
1847,1.848,-1.74411,-1.9129
1848,1.585,-1.64937,-1.4792
1849,1.359,-1.41066,-1.4255
1850,1.166,-0.98334,-0.99983
1851,1,-0.96238,-1.01793
1852,0.457,-0.41003,-0.41015
1853,0.152,-0.14889,-0.11619
1854,0.023,-0.03778,0.07178
1855,0,-9e-04,-0.09701
1856,100,-96.54448,-105.49166
1857,85.77,-97.1829,-81.29944
1858,73.564,-75.24815,-68.52078
1859,63.096,-61.77163,-62.04656
1860,54.117,-53.5003,-52.52262
1861,46.416,-49.37299,-45.14444
1862,39.811,-41.60341,-38.30405
1863,34.145,-35.08424,-34.62853
1864,29.286,-28.67587,-26.68561
1865,25.119,-25.12825,-24.64945
1866,21.544,-20.91074,-17.49693
1867,18.478,-18.57245,-17.43656
1868,15.849,-15.99204,-15.3924
1869,13.594,-13.60214,-13.7806
1870,11.659,-11.86553,-11.68272
1871,10,-10.52082,-11.28413
1872,8.577,-8.53601,-7.80303
1873,7.356,-7.53003,-6.96742
1874,6.31,-6.5128,-6.7718
1875,5.412,-5.53466,-5.60255
1876,4.642,-4.82332,-4.45374
1877,3.981,-4.21937,-4.07737
1878,3.415,-3.6619,-3.54176
1879,2.929,-2.8501,-2.7097
1880,2.512,-2.23907,-2.49245
1881,2.154,-2.29755,-1.84256
1882,1.848,-2.02648,-2.01968
1883,1.585,-1.70616,-1.83252
1884,1.359,-1.17589,-1.32027
1885,1.166,-1.12234,-1.35885
1886,1,-1.07067,-1.18984
1887,0.457,-0.21312,-0.48325
1888,0.152,-0.17337,-0.38261
1889,0.023,-0.14997,-0.13197
1890,0,0.15495,-0.11693
1891,100,-100.89806,-93.96395
1892,85.77,-86.22847,-96.66841
1893,73.564,-72.79808,-70.53799
1894,63.096,-65.19963,-68.43601
1895,54.117,-55.44181,-58.13165
1896,46.416,-48.97707,-43.13692
1897,39.811,-39.94347,-44.64744
1898,34.145,-31.31814,-33.9496
1899,29.286,-28.06403,-26.51918
1900,25.119,-25.53544,-22.17982
1901,21.544,-21.62481,-20.86147
1902,18.478,-19.7183,-17.71474
1903,15.849,-16.05645,-15.10913
1904,13.594,-13.60711,-13.43272
1905,11.659,-12.35439,-11.188
1906,10,-10.35911,-10.75114
1907,8.577,-8.74371,-9.47822
1908,7.356,-7.6104,-7.23692
1909,6.31,-6.37545,-6.15006
1910,5.412,-4.85679,-5.267
1911,4.642,-4.85278,-4.91477
1912,3.981,-3.68523,-4.74977
1913,3.415,-3.19894,-3.15065
1914,2.929,-2.78497,-2.88631
1915,2.512,-2.31501,-2.69772
1916,2.154,-1.90316,-2.09638
1917,1.848,-1.90876,-1.86852
1918,1.585,-1.57561,-1.81225
1919,1.359,-1.27393,-1.26731
1920,1.166,-0.74281,-1.27694
1921,1,-1.11717,-0.8794
1922,0.457,-0.59203,-0.35215
1923,0.152,-0.12824,-0.34591
1924,0.023,-0.04266,-0.22301
1925,0,-0.25397,-0.1529
1926,100,-98.32119,-105.48346
1927,85.77,-84.47695,-82.99262
1928,73.564,-77.35127,-73.36182
1929,63.096,-63.10661,-60.5772
1930,54.117,-52.9888,-53.71352
1931,46.416,-43.76173,-39.66338
1932,39.811,-39.32835,-37.87046
1933,34.145,-34.49447,-37.05261
1934,29.286,-29.64585,-25.52365
1935,25.119,-23.47077,-25.80644
1936,21.544,-21.12055,-22.01644
1937,18.478,-19.13597,-18.94584
1938,15.849,-16.05615,-15.81669
1939,13.594,-13.60435,-15.27343
1940,11.659,-12.27678,-11.52051
1941,10,-9.53268,-9.44906
1942,8.577,-8.28967,-7.39513
1943,7.356,-7.58847,-6.99749
1944,6.31,-6.35809,-6.84931
1945,5.412,-5.53792,-4.82481
1946,4.642,-4.60995,-4.59044
1947,3.981,-4.45038,-3.81429
1948,3.415,-3.64801,-3.64506
1949,2.929,-3.01141,-3.13106
1950,2.512,-2.49767,-2.63739
1951,2.154,-2.11556,-2.53302
1952,1.848,-1.92354,-1.71608
1953,1.585,-1.46928,-1.88876
1954,1.359,-1.46168,-1.27496
1955,1.166,-1.11056,-1.1178
1956,1,-0.8468,-0.85708
1957,0.457,-0.6248,-0.54808
1958,0.152,-0.0721,0.16974
1959,0.023,0.05297,0.01481
1960,0,-0.1003,-0.12694
1961,100,-93.48139,-97.09583
1962,85.77,-90.51259,-88.16886
1963,73.564,-73.59936,-69.94107
1964,63.096,-65.70998,-59.42946
1965,54.117,-56.06324,-51.58941
1966,46.416,-48.04136,-49.8615
1967,39.811,-36.84641,-45.74435
1968,34.145,-33.66885,-32.82529
1969,29.286,-30.01218,-31.58676
1970,25.119,-24.81184,-22.78753
1971,21.544,-21.08114,-20.52796
1972,18.478,-19.33657,-16.95361
1973,15.849,-15.90044,-15.75918
1974,13.594,-13.30898,-12.80005
1975,11.659,-12.37618,-11.79297
1976,10,-8.98279,-10.19126
1977,8.577,-8.17989,-9.31581
1978,7.356,-6.80437,-7.18454
1979,6.31,-6.29396,-6.18894
1980,5.412,-5.33633,-5.65681
1981,4.642,-4.94989,-4.41111
1982,3.981,-4.09782,-3.82399
1983,3.415,-3.44911,-3.05025
1984,2.929,-3.16385,-3.22754
1985,2.512,-2.83169,-2.73497
1986,2.154,-2.13788,-1.92958
1987,1.848,-2.0665,-1.66889
1988,1.585,-1.57355,-1.71462
1989,1.359,-1.3966,-1.34603
1990,1.166,-1.02979,-1.24346
1991,1,-0.84137,-0.88662
1992,0.457,-0.24977,-0.45109
1993,0.152,-0.16236,-0.29008
1994,0.023,-0.00848,0.1105
1995,0,0.11127,0.06473
1996,100,-103.35699,-109.2101
1997,85.77,-84.46667,-91.01975
1998,73.564,-72.81427,-72.69968
1999,63.096,-63.64881,-61.95432
2000,54.117,-56.43816,-52.94769
2001,46.416,-45.68347,-47.89401
2002,39.811,-40.10287,-39.65875
2003,34.145,-34.39899,-40.03936
2004,29.286,-28.47706,-27.54334
2005,25.119,-25.44508,-22.54561
2006,21.544,-20.40078,-21.72319
2007,18.478,-19.30733,-18.84716
2008,15.849,-16.13935,-16.01399
2009,13.594,-12.89006,-16.35051
2010,11.659,-11.32613,-12.22624
2011,10,-10.48099,-9.45598
2012,8.577,-8.72892,-8.86442
2013,7.356,-7.49824,-6.86523
2014,6.31,-6.69495,-5.9979
2015,5.412,-5.05771,-5.32792
2016,4.642,-4.40893,-4.61056
2017,3.981,-3.94394,-3.97235
2018,3.415,-3.52131,-2.90895
2019,2.929,-2.83934,-3.20112
2020,2.512,-2.3841,-2.22918
2021,2.154,-1.89922,-2.37319
2022,1.848,-2.02173,-1.81092
2023,1.585,-1.61216,-1.91674
2024,1.359,-1.14278,-1.44239
2025,1.166,-0.73177,-1.07009
2026,1,-1.03412,-0.94567
2027,0.457,-0.50988,-0.43506
2028,0.152,-0.0554,-0.00421
