tid,gamma,trueage,relmid,impsamp,freqonly
208,13.335,-12.23955,-9.7617,-12.09091,-12.3621
209,10,-10.00775,-9.45252,-10.72756,-10.14881
210,7.499,-7.48754,-6.58227,-7.55377,-7.11842
211,5.623,-5.37969,-5.16828,-5.65001,-5.18399
212,4.217,-4.57385,-4.73189,-5.28187,-4.77659
213,3.162,-3.12469,-3.25703,-3.47702,-3.13518
214,2.371,-2.31084,-2.35045,-2.48186,-2.14762
215,1.778,-1.85055,-1.89853,-1.9533,-1.70646
216,1.334,-1.29934,-1.5681,-1.5394,-1.3391
217,1,,,,
218,0.332,,,,
219,0.005,,,,
220,0,-6.19761,-5.26999,-5.55529,-4.79101
221,100,-94.51311,-68.97819,-84.69465,-93.16944
222,74.989,-75.19196,-53.08452,-65.40922,-69.6901
223,56.423,-52.79326,-43.03703,-50.63171,-53.64368
224,42.17,-36.98619,-27.91391,-32.76952,-35.26917
225,31.623,-32.95367,-26.24828,-32.82073,-34.5034
226,23.714,-21.84766,-17.25411,-20.93878,-21.62809
227,17.783,-15.17053,-13.16118,-15.57843,-16.16193
228,13.335,-13.18952,-10.87703,-13.39233,-13.32438
229,10,-10.74838,-10.67191,-11.69635,-11.06376
230,7.499,-7.46676,-6.84745,-7.92864,-7.74446
231,5.623,-5.71983,-5.43341,-6.22287,-5.727
232,4.217,-4.22109,-4.13421,-4.51198,-4.12629
233,3.162,-2.86151,-2.85935,-3.06034,-2.76759
234,2.371,-2.21386,-2.24106,-2.34569,-2.0572
235,1.778,,,,
236,1.334,,,,
237,1,,,,
238,0.332,,,,
239,0.005,,,,
240,0,-7.36975,-6.17632,-6.59644,-5.82213
241,100,NaN,NaN,NaN,NaN
242,74.989,NaN,NaN,NaN,NaN
243,56.423,-52.45166,-43.39526,-49.90454,-53.824
244,42.17,-45.29781,-39.57707,-43.07997,-43.83372
245,31.623,-29.28157,-20.88752,-27.06539,-27.84684
246,23.714,-30.534,-26.61671,-30.49546,-31.04099
247,17.783,-17.82649,-14.16112,-17.51072,-17.64608
248,13.335,-12.69461,-9.77563,-12.67803,-12.56937
249,10,-10.08946,-8.1036,-10.48937,-10.37913
250,7.499,-7.48668,-7.06895,-8.04546,-7.71433
251,5.623,-5.72335,-5.37782,-6.10801,-5.66055
252,4.217,-3.82511,-3.88391,-4.26292,-3.92372
253,3.162,-2.74741,-2.78809,-2.98292,-2.66436
254,2.371,-2.42051,-2.59542,-2.74274,-2.43647
255,1.778,-1.82284,-1.99422,-2.06695,-1.8221
256,1.334,-1.25785,-1.43943,-1.47074,-1.2455
257,1,-1.13118,-1.32989,-1.27305,-1.08341
258,0.332,-0.43321,-0.61677,-0.58838,-0.34398
259,0.005,,,,
260,0,-6.14997,-5.47927,-5.65211,-4.69582
261,100,-86.41258,-69.43259,-75.13011,-83.06022
262,74.989,-87.67954,-56.94963,-79.97696,-86.8788
263,56.423,-51.82876,-41.75206,-50.69482,-53.82637
264,42.17,-38.39991,-31.97993,-39.21393,-40.17756
265,31.623,-29.69152,-25.03067,-28.98842,-30.36908
266,23.714,-23.51761,-17.30606,-23.25579,-23.12557
267,17.783,-19.14527,-16.77063,-19.033,-19.5622
268,13.335,-12.74529,-10.86531,-12.93197,-12.60827
269,10,-9.174,-7.996,-9.38236,-9.20468
270,7.499,-6.87562,-6.20802,-6.94989,-6.67839
271,5.623,-5.19445,-5.13435,-5.90431,-5.52119
272,4.217,-4.54015,-4.49626,-4.89032,-4.57863
273,3.162,-2.93143,-2.91611,-3.09728,-2.84243
274,2.371,-2.58672,-2.76257,-2.89621,-2.64802
275,1.778,-1.86096,-2.01782,-2.09311,-1.79651
276,1.334,-1.19373,-1.40304,-1.40088,-1.16318
277,1,-1.07941,-1.3261,-1.2733,-1.03477
278,0.332,-0.64838,-0.85497,-0.78757,-0.591
279,0.005,0.08856,0.13204,0.21736,0.19661
280,0,-5.74002,-5.08695,-5.21072,-4.30004
281,100,-102.85879,-88.15265,-93.69359,-98.74541
282,74.989,-80.99542,-69.17115,-76.17082,-78.29807
283,56.423,-58.55526,-52.89346,-59.67163,-60.73123
284,42.17,-38.91981,-32.66604,-37.82377,-38.59995
285,31.623,-29.50831,-24.0022,-26.98003,-28.36406
286,23.714,-27.06915,-22.17415,-25.8376,-29.11426
287,17.783,-18.35721,-16.75922,-18.39368,-18.21768
288,13.335,-14.01818,-11.39258,-14.08668,-13.66062
289,10,-11.1415,-9.05367,-10.70653,-10.79527
290,7.499,-8.2765,-7.87374,-8.7955,-8.18609
291,5.623,-5.31338,-5.49339,-5.97117,-5.48212
292,4.217,-4.12175,-4.13259,-4.49473,-4.16789
293,3.162,-3.60274,-3.68631,-3.92553,-3.61486
294,2.371,-2.46432,-2.51323,-2.65022,-2.30893
295,1.778,-1.66085,-1.93179,-2.00007,-1.69167
296,1.334,,,,
297,1,,,,
298,0.332,,,,
299,0.005,,,,
300,0,-5.98586,-5.28207,-5.46528,-4.57836
301,100,-86.58753,-58.54221,-79.10986,-85.33209
302,74.989,-69.60292,-57.10822,-64.61027,-70.44538
303,56.423,-59.70058,-53.21204,-58.36011,-58.29545
304,42.17,-49.60849,-39.60542,-47.12556,-53.03614
305,31.623,-33.97421,-29.61601,-32.63527,-32.94479
306,23.714,-23.71692,-18.90197,-21.6872,-22.25322
307,17.783,-17.77119,-15.86021,-17.85621,-17.74076
308,13.335,-13.13791,-11.86208,-13.45254,-13.35736
309,10,-9.96165,-8.34129,-10.06246,-9.68261
310,7.499,-7.28433,-6.73135,-7.67087,-7.15365
311,5.623,,,,
312,4.217,,,,
313,3.162,,,,
314,2.371,,,,
315,1.778,-2.01627,-2.14416,-2.223,-1.89241
316,1.334,-1.00604,-1.07539,-1.10097,-0.91495
317,1,,,,
318,0.332,,,,
319,0.005,,,,
320,0,-6.32634,-5.05678,-5.57882,-4.87103
321,100,NaN,NaN,NaN,NaN
322,74.989,-78.92052,-65.81162,-72.33499,-80.00188
323,56.423,-57.04689,-44.3298,-53.4906,-56.47743
324,42.17,-37.82136,-34.29137,-36.97491,-39.17377
325,31.623,-29.7845,-26.35233,-29.10443,-28.711
326,23.714,-23.56417,-21.60613,-23.57663,-22.69287
327,17.783,-18.76599,-15.45753,-17.94565,-18.03608
328,13.335,-13.64439,-11.08298,-13.01419,-12.77789
329,10,-11.22642,-9.89332,-11.55313,-11.23687
330,7.499,-7.68006,-6.85923,-8.00815,-7.69683
331,5.623,-5.35609,-4.88432,-5.53128,-5.29852
332,4.217,-3.97767,-3.88667,-4.20406,-3.9179
333,3.162,-3.00087,-3.10591,-3.22455,-2.97481
334,2.371,-2.38125,-2.39827,-2.52528,-2.33113
335,1.778,-1.7736,-1.88482,-1.9751,-1.70878
336,1.334,-1.53433,-1.64812,-1.71511,-1.43697
337,1,-0.85864,-1.0605,-1.08171,-0.75288
338,0.332,-0.42467,-0.6086,-0.5981,-0.36022
339,0.005,0.07862,0.04758,0.10643,0.18177
340,0,-7.59662,-6.6933,-6.92986,-5.92668
341,100,-87.58461,-67.70242,-79.36872,-83.17236
342,74.989,-92.72072,-77.1404,-83.53855,-91.18959
343,56.423,-62.67175,-49.52166,-57.65875,-61.98084
344,42.17,-43.90332,-33.19828,-40.07415,-42.13314
345,31.623,-31.19147,-24.98025,-30.48688,-31.63015
346,23.714,-26.93203,-22.41094,-26.97107,-27.70579
347,17.783,-16.64066,-14.60442,-16.88486,-16.50032
348,13.335,-14.54859,-12.28028,-14.0991,-14.15368
349,10,-10.38121,-8.79351,-10.09864,-9.90293
350,7.499,-7.44886,-6.96147,-7.83382,-7.54016
351,5.623,-5.8029,-5.97365,-6.62903,-6.24269
352,4.217,-4.51511,-4.40199,-4.73178,-4.3467
353,3.162,-2.91087,-3.09088,-3.30419,-2.92346
354,2.371,-2.61163,-2.79861,-2.9539,-2.63819
355,1.778,-1.90503,-2.08064,-2.11049,-1.93812
356,1.334,-1.36276,-1.55732,-1.6086,-1.38979
357,1,-1.00219,-1.20335,-1.24188,-0.95242
358,0.332,-0.36572,-0.52451,-0.42702,-0.23866
359,0.005,0.0982,0.09409,0.17737,0.20684
360,0,-4.10608,-3.70675,-3.84044,-3.22706
361,100,-100.08101,-63.77431,-84.67811,-98.82689
362,74.989,-77.60507,-70.23952,-73.3682,-76.7098
363,56.423,-61.42275,-47.75545,-58.43322,-59.16346
364,42.17,-39.60711,-33.69265,-39.80161,-40.99934
365,31.623,-33.2811,-27.58907,-32.77246,-34.04664
366,23.714,-22.78676,-18.82287,-22.46033,-22.14556
367,17.783,-18.81723,-14.40032,-17.35875,-17.74733
368,13.335,-13.17847,-12.41008,-13.95957,-13.90364
369,10,-10.61092,-9.53101,-11.18708,-10.82293
370,7.499,-7.71334,-7.23401,-8.01076,-7.84057
371,5.623,-5.6748,-5.46663,-6.56425,-6.43816
372,4.217,-3.60726,-3.75836,-3.97647,-3.73779
373,3.162,-3.00836,-3.22337,-3.40392,-3.05191
374,2.371,-2.34005,-2.40061,-2.52905,-2.36185
375,1.778,-1.74113,-1.82155,-1.91097,-1.66645
376,1.334,-1.40962,-1.58928,-1.64218,-1.35471
377,1,-1.00514,-1.25596,-1.2316,-0.98465
378,0.332,-0.314,-0.46155,-0.42165,-0.2619
379,0.005,0.13167,0.13246,0.22598,0.22477
