tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
285,31.623,-28.18846,-15.3977,-20.6576,-22.2389,-21.65809
286,23.714,-21.42876,-12.9657,-17.81828,-26.23032,-18.89776
287,17.783,-17.50257,-14.36247,-17.93134,-16.86034,-18.92881
288,13.335,-14.44168,-9.05183,-15.18267,-13.58181,-16.08048
289,10,-10.37996,-7.46613,-10.34595,-10.29259,-11.28218
290,7.499,-8.76728,-7.93433,-10.13679,-9.00876,-10.82673
291,5.623,-5.36242,-5.49653,-6.71184,-5.8522,-7.2409
292,4.217,-4.14869,-4.09442,-5.13222,-4.54767,-5.58744
293,3.162,-3.41127,-3.1709,-4.04179,-3.44404,-4.3481
294,2.371,-2.59568,-2.60581,-3.06559,-2.52586,-3.32863
295,1.778,-1.50107,-1.7505,-2.14702,-1.64912,-2.36627
296,1.334,-1.28854,-1.28511,-1.71258,-1.26026,-1.91079
297,1,-0.82038,-0.8961,-1.33065,-0.92219,-1.53568
298,0.332,-0.27138,-0.16605,-0.48569,-0.35222,-0.66603
299,0.005,0.10966,0.38598,0.29448,0.03924,3.12893
300,0,-0.26313,-6.05905,-7.06256,-5.20914,-7.4734
301,100,-93.39442,-16.44239,-57.18111,-105.69488,-56.52803
302,74.989,-59.38384,-29.43172,-40.9849,-61.2346,-41.37035
303,56.423,-69.83272,-43.9467,-66.23311,-88.47582,-64.19871
304,42.17,-44.8229,-21.42734,-35.24813,-89.55056,-36.78974
305,31.623,-35.84771,-24.27525,-33.7689,-36.04883,-34.45865
306,23.714,-23.33634,-13.38646,-18.83205,-18.57041,-19.76907
307,17.783,-19.14014,-14.60305,-19.9894,-22.21316,-21.37109
308,13.335,-10.12189,-8.81921,-11.12614,-9.55006,-11.94806
309,10,-9.36609,-7.00155,-10.38525,-9.5134,-11.34382
310,7.499,-6.77813,-6.09512,-7.93175,-6.67828,-8.54169
311,5.623,-5.90942,-5.09255,-6.46594,-5.50011,-6.96657
312,4.217,-4.38252,-3.95345,-4.97177,-4.42899,-5.40587
313,3.162,-2.61727,-2.5331,-2.98702,-2.49788,-3.26024
314,2.371,-2.03358,-2.25228,-2.60062,-2.08887,-2.82263
315,1.778,-2.10529,-2.12844,-2.60395,-2.06231,-2.80897
316,1.334,-0.9737,-0.76232,-1.19165,-0.95647,-1.4071
317,1,-1.01297,-1.01483,-1.47628,-1.11658,-1.70287
318,0.332,-0.19597,-0.24534,-0.44557,-0.28936,-0.63975
319,0.005,-0.00116,0.23863,2.49374,-0.05386,3.85851
320,0,0.06897,-5.11342,-6.20109,-4.73867,-6.59713
321,100,,,,,
322,74.989,-70.53935,-33.8972,-45.40846,-73.49897,-45.65043
323,56.423,-53.86083,-23.23721,-39.51292,-54.32332,-40.71067
324,42.17,-24.63715,-19.83812,-23.04866,-19.8265,-23.83782
325,31.623,-33.13709,-22.95532,-31.20092,-32.34403,-31.82215
326,23.714,-26.08746,-20.49802,-27.04359,-24.75713,-27.74376
327,17.783,-20.35758,-12.43115,-18.7319,-19.70279,-20.15209
328,13.335,-15.35061,-9.74991,-14.06925,-14.03478,-15.09196
329,10,-11.46079,-9.16897,-13.65533,-13.42938,-14.93424
330,7.499,-6.98815,-5.93253,-7.90091,-7.08677,-8.62888
331,5.623,-4.86031,-4.45645,-5.63171,-5.14889,-6.14541
332,4.217,-3.98843,-4.00206,-4.81297,-4.33529,-5.21676
333,3.162,-3.00479,-3.15341,-3.4809,-3.07324,-3.70627
334,2.371,-2.63928,-2.52101,-2.96594,-2.71829,-3.21564
335,1.778,-1.61801,-1.83011,-2.14552,-1.7542,-2.4147
336,1.334,-1.61832,-1.59633,-1.98237,-1.56865,-2.20744
337,1,-1.13013,-1.22932,-1.64967,-1.13415,-1.84175
338,0.332,-0.22285,-0.30001,-0.60411,-0.35616,-0.8005
339,0.005,0.06024,0.21398,0.14582,-0.01828,3.1793
340,0,-0.60256,-6.98282,-8.6384,-6.44358,-9.08774
341,100,-97.21183,-31.11849,-58.47759,-63.45962,-55.37284
342,74.989,-106.8565,-44.98539,-59.46762,-153.83045,-58.09063
343,56.423,-61.02977,-24.89367,-39.26217,-53.51282,-39.68748
344,42.17,-51.18411,-19.81584,-38.81761,-56.78027,-38.99002
345,31.623,-31.0303,-16.34983,-29.43236,-38.67947,-30.19416
346,23.714,-21.22995,-13.0453,-20.0111,-17.80284,-21.41454
347,17.783,-16.71618,-12.59634,-18.42098,-17.49917,-19.46135
348,13.335,-15.52216,-10.63376,-14.56575,-15.22314,-15.91737
349,10,-10.40679,-7.853,-10.6179,-10.20406,-11.51914
350,7.499,-6.93519,-6.23775,-7.74814,-6.9457,-8.3934
351,5.623,-5.28939,-5.54915,-6.80574,-5.93895,-7.31829
352,4.217,-4.241,-4.39356,-5.2267,-4.50311,-5.62247
353,3.162,-2.59585,-2.87523,-3.35869,-2.68189,-3.62859
354,2.371,-2.25317,-2.62188,-2.95613,-2.40838,-3.21578
355,1.778,-1.72956,-1.80269,-2.17374,-1.88972,-2.39787
