Xl,gamma,al
 1.000000e-03, 6.812921e+00, 1.826000e+03
 1.740000e-02, 1.000000e+01, 3.992000e+03
 2.600000e-03, 1.467799e+01, 1.990000e+03
 4.400000e-03, 2.154435e+01, 1.332000e+03
 6.000000e-04, 3.162278e+01, 3.450000e+02
 8.000000e-04, 4.641589e+01, 2.790000e+02
 2.200000e-03, 6.812921e+01, 3.470000e+02
 1.400000e-03, 1.000000e+02, 2.130000e+02
 6.000000e-04,-1.000000e+02, 1.110000e+02
 3.200000e-03,-6.812921e+01, 3.900000e+02
 1.000000e-03,-4.641589e+01, 3.240000e+02
 8.400000e-03,-3.162278e+01, 1.155000e+03
 1.800000e-03,-2.154435e+01, 9.600000e+02
 5.600000e-03,-1.467799e+01, 2.435000e+03
 7.000000e-03,-1.000000e+01, 3.232000e+03
 1.200000e-03,-6.812921e+00, 2.665000e+03
 1.020000e-02,-4.641589e+00, 7.249000e+03
 5.000000e-03,-3.162278e+00, 6.907000e+03
 2.200000e-03,-2.154435e+00, 6.287000e+03
 1.140000e-02,-1.467799e+00, 1.054200e+04
 1.920000e-02,-1.000000e+00, 2.517700e+04
 8.000000e-04,-6.812921e-01, 1.558500e+04
 8.000000e-04,-4.641589e-01, 6.692000e+03
 4.000000e-04,-3.162278e-01, 9.650000e+02
 6.800000e-03,-2.154435e-01, 1.891700e+04
 2.600000e-03,-1.467799e-01, 1.020000e+04
 6.000000e-04,-1.000000e-01, 4.337000e+03
 1.400000e-02,-6.812921e-02, 2.703800e+04
 1.600000e-03,-4.641589e-02, 9.964000e+03
 3.200000e-03,-3.162278e-02, 9.977000e+03
 1.400000e-03,-2.154435e-02, 5.962000e+03
 1.400000e-03,-1.467799e-02, 8.303000e+03
 4.200000e-03,-1.000000e-02, 1.751800e+04
 4.000000e-04, 1.000000e-02, 1.006000e+03
 8.000000e-04, 1.467799e-02, 5.334000e+03
 5.400000e-03, 2.154435e-02, 1.485700e+04
 1.200000e-03, 3.162278e-02, 7.439000e+03
 1.400000e-03, 4.641589e-02, 7.316000e+03
 1.800000e-03, 6.812921e-02, 1.197800e+04
 5.600000e-03, 1.000000e-01, 1.706600e+04
 1.160000e-02, 1.467799e-01, 1.393600e+04
 2.000000e-03, 2.154435e-01, 8.263000e+03
 4.000000e-04, 3.162278e-01, 8.450000e+02
 6.000000e-04, 4.641589e-01, 3.864000e+03
 1.000000e-03, 6.812921e-01, 1.112800e+04
 4.800000e-03, 1.000000e+00, 1.281200e+04
 1.000000e-03, 1.467799e+00, 9.419000e+03
 1.600000e-03, 2.154435e+00, 3.854000e+03
 2.000000e-03, 3.162278e+00, 6.548000e+03
 1.240000e-02, 4.641589e+00, 1.127300e+04
 3.200000e-03, 6.812921e+00, 4.816000e+03
 4.000000e-04, 1.000000e+01, 6.580000e+02
 3.600000e-03, 1.467799e+01, 1.770000e+03
 6.000000e-04, 2.154435e+01, 3.430000e+02
 4.000000e-03, 3.162278e+01, 9.070000e+02
 1.200000e-03, 4.641589e+01, 4.060000e+02
 9.600000e-03, 6.812921e+01, 5.670000e+02
 3.800000e-03, 1.000000e+02, 2.830000e+02
 1.100000e-02,-1.000000e+02, 3.980000e+02
 8.000000e-04,-6.812921e+01, 2.040000e+02
 1.800000e-02,-4.641589e+01, 9.270000e+02
 1.720000e-02,-3.162278e+01, 1.338000e+03
 1.400000e-03,-2.154435e+01, 9.630000e+02
 2.200000e-03,-1.467799e+01, 1.626000e+03
 1.000000e-03,-1.000000e+01, 1.055000e+03
