Xl,gamma,al
     0.009250,  -100.000000,   209.000000
     0.010925,  -100.000000,   225.000000
     0.009825,  -100.000000,   227.000000
     0.006875,  -100.000000,   520.000000
     0.006025,  -100.000000,   608.000000
     0.006650,  -100.000000,   841.000000
     0.012225,  -100.000000,   788.000000
     0.005950,  -100.000000,   264.000000
     0.007075,  -100.000000,   849.000000
     0.009625,  -100.000000,   891.000000
     0.014150,  -100.000000,  1260.000000
     0.005475,  -100.000000,  1704.000000
     0.005050,  -100.000000,   261.000000
     0.012475,  -100.000000,   181.000000
     0.005625,  -100.000000,   170.000000
     0.006400,  -100.000000,   917.000000
     0.007025,  -100.000000,   970.000000
     0.006650,  -100.000000,   100.000000
     0.010225,  -100.000000,   307.000000
     0.016300,  -100.000000,   444.000000
     0.008050,  -100.000000,   107.000000
     0.007750,  -100.000000,   155.000000
     0.007450,  -100.000000,   245.000000
     0.005400,  -100.000000,   118.000000
     0.005825,  -100.000000,    56.000000
     0.005100,  -100.000000,   199.000000
     0.006375,  -100.000000,    48.000000
     0.012075,  -100.000000,   202.000000
     0.005775,  -100.000000,   137.000000
     0.007550,  -100.000000,   154.000000
     0.005500,  -100.000000,   309.000000
     0.007750,  -100.000000,    99.000000
     0.008150,  -100.000000,   338.000000
     0.014250,  -100.000000,  1871.000000
     0.008925,  -100.000000,   440.000000
     0.006450,  -100.000000,   501.000000
     0.005700,  -100.000000,   169.000000
     0.005850,  -100.000000,    49.000000
     0.015425,  -100.000000,   599.000000
     0.006575,  -100.000000,    67.000000
     0.005150,  -100.000000,   358.000000
     0.005950,  -100.000000,   303.000000
     0.012100,  -100.000000,   426.000000
     0.010900,  -100.000000,   414.000000
     0.005675,  -100.000000,   274.000000
     0.005900,  -100.000000,   227.000000
     0.008625,  -100.000000,   174.000000
     0.007375,  -100.000000,   418.000000
     0.005800,  -100.000000,   400.000000
     0.006175,  -100.000000,   403.000000
     0.011525,  -100.000000,   581.000000
     0.005675,  -100.000000,    87.000000
     0.007675,  -100.000000,   507.000000
     0.013675,  -100.000000,   952.000000
