Xl,gamma,al,exp.al,all.age
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 7.000000e+00, 1.102226e+01, 1.000000e+00
 4.800000e-03,-1.000000e+02, 4.100000e+01, 7.831867e+01, 8.000000e+00
 3.000000e-04,-1.000000e+02, 1.500000e+01, 1.102226e+01, 4.800000e+01
 5.500000e-03,-1.000000e+02, 6.600000e+01, 8.474321e+01, 1.300000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 6.000000e+00, 1.102226e+01, 1.500000e+01
 9.000000e-04,-1.000000e+02, 8.000000e+00, 2.596453e+01, 1.900000e+01
 3.500000e-03,-1.000000e+02, 1.240000e+02, 6.480053e+01, 9.000000e+01
 3.000000e-04,-1.000000e+02, 3.000000e+00, 1.102226e+01, 1.000000e+00
 3.700000e-03,-1.000000e+02, 2.500000e+01, 6.704113e+01, 5.000000e+01
 4.000000e-04,-1.000000e+02, 8.000000e+00, 1.394566e+01, 1.500000e+01
 9.000000e-04,-1.000000e+02, 1.700000e+01, 2.596453e+01, 5.000000e+00
 6.000000e-04,-1.000000e+02, 1.800000e+01, 1.916765e+01, 2.000000e+00
 5.000000e-04,-1.000000e+02, 2.000000e+00, 1.664434e+01, 2.000000e+00
 1.000000e-03,-1.000000e+02, 1.970000e+02, 2.803083e+01, 4.000000e+00
 8.000000e-04,-1.000000e+02, 4.000000e+00, 2.380789e+01, 2.000000e+00
 5.000000e-04,-1.000000e+02, 2.700000e+01, 1.664434e+01, 6.000000e+00
 4.000000e-04,-1.000000e+02, 2.000000e+00, 1.394566e+01, 2.000000e+00
 2.900000e-03,-1.000000e+02, 1.900000e+01, 5.764044e+01, 1.400000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 6.000000e-04,-1.000000e+02, 3.000000e+00, 1.916765e+01, 5.000000e+00
 1.370000e-02,-1.000000e+02, 2.180000e+02, 1.374692e+02, 5.400000e+01
 6.900000e-03,-1.000000e+02, 9.300000e+01, 9.626772e+01, 8.400000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 9.000000e-04,-1.000000e+02, 9.000000e+00, 2.596453e+01, 8.000000e+00
